node_id,name,source,definition,properties
evid_QIFVVUIH_ent.pku_dual_comb_microwave_sync_c24,北大双梳增强微波钟同步系统（Chen Z. 2024）,chen_z2024,"两台独立频率梳（本地 + 远端，各自由微波钟驱动 frep + fceo）→ 强度编码脉冲经商用光纤（205.86 km）传输； 双端 LOS（线性光学采样）测量脉冲到达时刻（质心）→ Kalman 滤波提取时间间隔（start-stop）； 使用脉冲包络相位时间（非载波相位）进行同步 → 规避 fceo 不稳定影响； 色散补偿 + 全自动偏振控制 + 实时反馈保证互相干性； 达到微波钟间时间同步...","{'demonstrated_value': 60000000000.0, 'dispersion_compensation': '色散补偿 + 全自动偏振控制', 'fiber_length': '205.86 km（商用光纤）', 'instability': '<6×10⁻¹⁸ @ 10,000 s', 'method': '双梳 OTWTT（光学双向时间传递）+ LOS（线性光学采样）', 'phase_time': '脉冲包络相位时间（非载波相位）', 'reference_clocks': '两台微波钟（H-maser / Rb 钟，未明示具体型号）', 'time_sync_residual': '6.23 fs @ 1 s（Allan time deviation）', 'value_type': 'quantitative'}"
evid_SCI-ESA-HRE-ESR-ISOC_ent.space_frequency_comb_sfc,空间频率梳 SFC（I-SOC 光↔微波桥）,cacciapuoti2017,"飞秒光学频率梳，任务中用于将光学频率（SLOC 的 698 nm 钟跃迁或光学参考腔输出）转换为 适合 MWL / ELT+ 传输的微波/光学信号；提供空间段光↔微波桥。
","{'fallback': 'USO（超稳石英振荡器）可作 SFC 故障备份（#SR-PL-36 / #SR-PL-37）', 'stability_requirement': '给定输入光学信号不稳定度 $1\\cdot10^{-13}$ – $5\\cdot10^{-16}\\tau^{-1/2}$，SFC 输出微波信号不稳定度增加因子 $\\leq 1.1$（$20\\,\\text{s}$ – $2\\cdot10^{6}\\,\\text{s}$，#SR-PL-32）'}"
evid_SCI-ESA-HRE-ESR-ISOC_ent.space_lattice_optical_clock_sloc,空间光学晶格钟 SLOC（I-SOC 空间段 Sr 光钟）,cacciapuoti2017,"基于激光冷却 ⁸⁷Sr 中性原子的魔术波长光晶格钟，作为 I-SOC 的空间频率参考。 目标性能（#SR-PL-03 / #SR-PL-04）：分数频率不稳定度 $8\cdot10^{-16}/\sqrt{\tau}$； 系统不确定度 $1\cdot10^{-17}$。继承欧洲 SOC → SOC2 → FACT（FP7/H2020 ITN）地面可搬运 Sr 光钟研发路径。
","{'atomic_species': '⁸⁷Sr', 'clock_laser_requirement': '光学参考振荡器 Allan 偏差 $<3\\cdot10^{-16}$（$0.1\\,\\text{s}$–$100\\,\\text{s}$，线性漂移后；#SR-PL-30）', 'drift_budget': '分数漂移变化 $<2\\cdot10^{-16}/\\text{s}$ @ 5400 s（ISS 轨道周期；#SR-PL-31）', 'target_instability': '$8\\cdot10^{-16}/\\sqrt{\\tau}$（Allan 偏差，#SR-PL-03）', 'target_systematic_uncertainty': '$1\\cdot10^{-17}$（#SR-PL-04）', 'transition_wavelength': '698 nm (¹S₀→³P₀)'}"
evid_K5JMAYPZ_ent.npl_ule_cavity_laser_sc21,NPL 超稳激光（48.5 cm ULE 腔，Schioppo 2021）,schioppo2021,"NPL Teddington 超稳激光系统：48.5 cm 长 ULE 光学腔， 振动隔离主动改进后达到腔热噪声极限， MDEV 稳定度 6×10⁻¹⁷（7×10⁻¹⁷ ADEV），室温运行。
","{'cavity_length': '48.5 cm', 'demonstrated_value': 60000000000.0, 'instability_adev': '7×10⁻¹⁷', 'instability_mdev': '6×10⁻¹⁷', 'location': 'NPL Teddington, UK', 'spacer_material': 'ULE', 'value_type': 'quantitative'}"
evid_BWR7TEZ6_ent.optical_lattice_clock,光晶格钟（架构子类型）,fortier2026,"利用""魔术波长""光晶格囚禁约 10⁴ 个激光冷却中性原子， 探测 ¹S₀→³P₀ 窄跃迁。大原子数使统计灵敏度极高（σ_y ∝ 1/√N_a）， 短期不稳定度可达 ~10⁻¹⁷/√τ。代表系统：⁸⁷Sr（698 nm）、¹⁷¹Yb（578 nm）。
","{'atom_number': '~10⁴', 'best_systematic_uncertainty': '~1×10⁻¹⁸（Sr 和 Yb 钟，综述汇总）', 'demonstrated_value': 10000000000.0, 'key_systematics': '黑体辐射频移（BBR）、格子光频移、碰撞频移', 'magic_wavelength': '813.4 nm（Sr）、759.4 nm（Yb）', 'representative_species': '⁸⁷Sr（698 nm）、¹⁷¹Yb（578 nm）', 'stability': '~5×10⁻¹⁷/√τ（最佳演示，综述汇总）', 'value_type': 'quantitative'}"
evid_SE4C2RWR_ent.co2_machined_microrod_comb_p13b,CO₂ 激光加工微棒谐振器梳（Papp 2013b）,papp2013b,"用 CO₂ 激光（10.6 μm）熔融蒸发 fused-quartz 棒（直径 2 mm）快速加工成球状微谐振器（Q ~ 5×10⁸，<1 分钟加工，近 100% 良率）； 通过压电执行器施加机械力改变谐振器形状 → 调谐 FSR（即微梳梳齿间距 f_rep）； CW 泵浦产生 32.6 GHz 间距参量微梳（1510–1620 nm 谱跨度）， 锁至微波频率标准后梳齿间距稳定度达 **5×10⁻...","{'Q_factor': '~5×10⁸（光学品质因子）', 'control_method': '压电执行器机械力调谐（改变谐振器形状）', 'demonstrated_value': 50000000000.0, 'fabrication': 'CO₂ 激光加工（<1 分钟，近 100% 良率）', 'frep_stability': '5×10⁻¹⁵ @ 1 s（残余涨落，锁至微波标准）', 'fsr': '32.6 GHz（微梳梳齿间距）', 'inter_line_variation': '<0.5 mHz（140 根梳齿间频率变化，跨 4.5 THz）', 'material': 'fused-quartz（熔融石英）', 'spectral_span': '1510–1620 nm（~4.5 THz）', 'value_type': 'quantitative'}"
evid_BWR7TEZ6_ent.trapped_ion_optical_clock,囚禁离子光钟（架构子类型）,fortier2026,"利用射频 Paul 阱囚禁单个或少数激光冷却离子，探测极窄光学跃迁作为频率参考。 单离子系统具有极低的系统效应，适合追求极致准确度。 代表性跃迁：²⁷Al⁺（626 nm）、¹⁷¹Yb⁺ E3（467 nm）。
","{'best_systematic_uncertainty': '5.5×10⁻¹⁹（²⁷Al⁺ NIST，综述汇总值）', 'demonstrated_value': 55000000000.0, 'detection_method': '电子搁置技术（electron shelving）/ 量子逻辑读出', 'representative_species': '²⁷Al⁺、¹⁷¹Yb⁺（E3）、⁸⁸Sr⁺、¹¹⁵In⁺、¹⁷⁶Lu⁺', 'stability_limit': 'σ_y ∝ 1/(ν₀·T_m·√N_a)，N_a=1 → 需长时间平均', 'value_type': 'quantitative'}"
evid_WW9ESVMK_ent.superradiant_laser_m09,超辐射激光（Meiser 2009 理论）,meiser2009,"碱土金属原子（如 Sr, Ca）在光晶格中被泵浦到钟跃迁激发态， 集体超辐射发射至高 Q 腔模。线宽可达 mHz 级—— 远窄于单原子自然线宽，因为集体效应压缩相位扩散。
","{'improvement_over_cavity': '2 orders of magnitude in clock stability', 'output_power': '~10⁻¹² W', 'predicted_linewidth': 'mHz range'}"
evid_NICHOLSON2015_ent.jila_sr_lattice_clock_n15,JILA ⁸⁷Sr 光晶格钟（Nicholson 2015, 2×10⁻¹⁸）,nicholson2015,"Level 2 实例，PART-OF ent.optical_lattice_clock","{'demonstrated_value': 22000000000.0, 'instability_1s': '2.2×10⁻¹⁶', 'key_improvements': 'lattice ac Stark; BBR; thermal environment', 'species': '⁸⁷Sr optical lattice clock', 'total_uncertainty': '2.1×10⁻¹⁸', 'value_type': 'quantitative'}"
evid_J37V2ZZQ_ent.precision_frequency_transfer_system_f22,光纤梳精密频率传递系统框架（Fermann 2022）,fermann2022,"利用锁模 Er 光纤激光器产生的频率梳，通过非线性放大和超连续谱产生（SCG）， 将锁定的光学频率从梳的一个波段精确传递到另一个波段或多个波段。 核心挑战：SCG 和放大过程引入的额外噪声（光学非线性噪声、ASE、技术噪声） 限制了传递稳定度。关键方法：(1) 单分支 SCG 传递（直接在一根 HNLF 上产生 倍频程频谱并锁定两端波段）；(2) 噪声抵消技术（在传递路径两端各建立 拍频检测 + ...","{'comb_source': 'Er:fiber NALM 锁模激光器（250 MHz 典型）', 'demonstrated_value': 20000000000.0, 'noise_cancelled_transfer_stability': '≈2 × 10⁻¹⁸ @ 1 s', 'scg_bandwidth': '>2 octaves（拼接后）', 'single_branch_transfer_stability': '<1 × 10⁻¹⁷ @ 1 s（跨倍频程）', 'value_type': 'quantitative'}"
